numActors,numObservers,numNorms,flatness,lifetime,sanctionRate,probIgnorance,propMissing,sensorReliability,masterSeed,ff,fp,fo,pf,pp,po,of,op,oo,sizeFocalSet
100,1,5,3.0,25,1.0,0.1,0.1,0.99,9049595083067631241,1,0,0,1,2,0,0,0,1,8
100,1,5,3.0,50,1.0,0.1,0.1,0.99,9049595083067631241,1,0,0,1,2,0,0,0,1,13
100,1,5,3.0,100,1.0,0.1,0.1,0.99,9049595083067631241,1,0,0,1,2,0,0,0,1,11
100,1,5,3.0,200,1.0,0.1,0.1,0.99,9049595083067631241,1,0,0,0,3,0,0,0,1,20
100,1,10,3.0,25,1.0,0.1,0.1,0.99,9049595083067631241,4,0,0,1,3,0,0,0,2,13
100,1,10,3.0,50,1.0,0.1,0.1,0.99,9049595083067631241,4,0,0,1,3,0,0,0,2,20
100,1,10,3.0,100,1.0,0.1,0.1,0.99,9049595083067631241,4,0,0,2,2,0,0,0,2,23
100,1,10,3.0,200,1.0,0.1,0.1,0.99,9049595083067631241,4,0,0,2,2,0,0,0,2,26
100,1,12,3.0,25,1.0,0.1,0.1,0.99,9049595083067631241,5,0,0,2,2,0,0,0,3,14
100,1,12,3.0,50,1.0,0.1,0.1,0.99,9049595083067631241,5,0,0,2,2,0,0,0,3,17
100,1,12,3.0,100,1.0,0.1,0.1,0.99,9049595083067631241,5,0,0,1,3,0,0,0,3,22
100,1,12,3.0,200,1.0,0.1,0.1,0.99,9049595083067631241,5,0,0,3,1,0,0,0,3,25
100,1,3,3.0,25,1.0,0.1,0.1,0.99,-8791893940311850947,1,0,0,1,0,0,0,0,1,3
100,1,3,3.0,50,1.0,0.1,0.1,0.99,-8791893940311850947,1,0,0,1,0,0,0,0,1,4
100,1,3,3.0,100,1.0,0.1,0.1,0.99,-8791893940311850947,1,0,0,0,1,0,0,0,1,5
100,1,3,3.0,200,1.0,0.1,0.1,0.99,-8791893940311850947,1,0,0,0,1,0,0,0,1,9
100,1,5,3.0,25,1.0,0.1,0.1,0.99,-8791893940311850947,1,0,0,1,1,0,0,0,2,6
100,1,5,3.0,50,1.0,0.1,0.1,0.99,-8791893940311850947,1,0,0,0,2,0,0,0,2,9
100,1,5,3.0,100,1.0,0.1,0.1,0.99,-8791893940311850947,1,0,0,0,2,0,0,0,2,10
100,1,5,3.0,200,1.0,0.1,0.1,0.99,-8791893940311850947,1,0,0,0,2,0,0,0,2,10
100,1,10,3.0,25,1.0,0.1,0.1,0.99,-8791893940311850947,4,0,0,1,2,0,0,0,3,11
